model,trial_mean,trial_std,seed_mean,seed_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,mcc_mean,mcc_std
RF,2.0,1.0,115.0,80.9135340965898,0.8536714210248283,0.0018299533096343412,0.8571502064577269,0.003537039408697878,0.9390566879928581,0.0034396177064862426,0.8488458674609084,0.0022338049143707933,0.8654545454545454,0.008331955809010621,0.8916706179864075,0.001236009118411053,0.9105160314989057,0.004810504809214727,0.9646113234609981,0.002914290947541727,0.6761782884262343,0.00547454322736004
ET,2.0,1.0,115.0,80.9135340965898,0.8596583905617186,0.002710830131773287,0.8619064058304565,0.004356325990924149,0.9403450828513206,0.004140087563569985,0.8565400843881856,0.003747746058709782,0.8672727272727272,0.010123207932418195,0.8964797287551987,0.0019942427529587377,0.9101310950156818,0.006123501035988629,0.9630812557223788,0.004291770390997197,0.6873154987890056,0.007012772075171116
LGBM,2.0,1.0,115.0,80.9135340965898,0.854023595703469,0.006813010079997516,0.8543565964936031,0.010098055769694728,0.935052703839959,0.00785822472713246,0.8535616778356913,0.0034391676496776384,0.8551515151515151,0.018392716249083074,0.8924427673789396,0.004774517199258433,0.9091166316929532,0.007562694021484407,0.9621604543493808,0.004073668549489193,0.6735654122189169,0.017541311447441504
XGB,2.0,1.0,115.0,80.9135340965898,0.8568409931325937,0.006092214788521284,0.860457591552156,0.00931418019866068,0.9408282406005641,0.007658275718247795,0.8518242740134028,0.0039400615205727445,0.8690909090909091,0.017907014185083763,0.8941050306792926,0.004285708841806609,0.9088041246418014,0.006876168302368114,0.9625608932718648,0.003137589932750917,0.6828866665461865,0.0158888913327803
KNN,2.0,1.0,115.0,80.9135340965898,0.8464518401126959,0.00670982880199251,0.8454416841535233,0.013186056030242541,0.9296574434130479,0.012051544133980933,0.8478530652767436,0.004787118769418184,0.8430303030303031,0.029392377340562735,0.8868292576565597,0.004234969991131812,0.8873993095512084,0.004343233572560904,0.9389372224982422,0.0027942045848727373,0.6564399694405824,0.02068969803343333
LogReg,2.0,1.0,115.0,80.9135340965898,0.8094734988554323,0.006368424483192526,0.808108034928586,0.007587262958684725,0.9103408475672851,0.0052803611835324,0.811367585008687,0.006064428752976203,0.8048484848484848,0.012106051124508011,0.8580018616269403,0.004862341949398444,0.8762745098039216,0.004875368007298564,0.9472085054126267,0.002138467964466867,0.5802499622397241,0.014250321515307718
