Descriptor_1,Descriptor_2,Pearson_Correlation,Abs_Correlation
AATS4e,AATSC0v,-0.7056282921782014,0.7056282921782014
AVP-4,AVP-7,0.705448828055936,0.705448828055936
SpMin7_Bhv,SpMAD_Dt,0.7054363311538354,0.7054363311538354
AATS8p,GATS8i,0.7054337395830421,0.7054337395830421
SC-4,MDEC-34,0.7053894598185668,0.7053894598185668
VR3_DzZ,SpMax6_Bhm,0.7052917823225131,0.7052917823225131
SC-5,EE_Dt,0.7051543372094897,0.7051543372094897
SpMin2_Bhm,MLogP,0.7051524134880567,0.7051524134880567
SpMin6_Bhe,fragC,0.7051126884266488,0.7051126884266488
SpMin4_Bhm,EE_Dt,0.7050439480867535,0.7050439480867535
AATS4v,Mp,0.7049197911812535,0.7049197911812535
maxHaaCH,ETA_dEpsilon_B,0.7048354210283586,0.7048354210283586
C3SP3,MDEC-14,0.7048113637357963,0.7048113637357963
nHBint7,nHBAcc,0.7047124508836183,0.7047124508836183
ATS3s,SpMin7_Bhe,0.7047052344040451,0.7047052344040451
VR3_DzZ,MLFER_S,0.7045291047999458,0.7045291047999458
nHBa,nHBint7,0.7045191361259151,0.7045191361259151
ETA_BetaP_s,nHeteroRing,0.7044120568620492,0.7044120568620492
AATS1e,AATS1i,0.704380368961109,0.704380368961109
AATS1m,AATS1e,0.7043033886704821,0.7043033886704821
MATS4i,GATS4v,-0.7042856139840187,0.7042856139840187
nRotB,RotBFrac,0.7042743957953833,0.7042743957953833
ATSC4v,MATS4p,0.7042048734432408,0.7042048734432408
ASP-2,RotBtFrac,0.7040524091437184,0.7040524091437184
SpMin8_Bhv,SpMAD_Dt,0.7040058678756896,0.7040058678756896
ATS2s,SpMAD_Dzs,0.7039317338524861,0.7039317338524861
SpMax2_Bhs,SpMax6_Bhs,0.7038842045199412,0.7038842045199412
ATS4m,SpMax7_Bhm,0.703856067484049,0.703856067484049
nHBd,SHBint4,0.703755701026375,0.703755701026375
VR1_Dzv,VR1_D,0.7037451211406948,0.7037451211406948
ASP-3,ASP-4,0.7036426729979144,0.7036426729979144
ATSC3p,GATS3v,-0.7036026898655929,0.7036026898655929
AATS5v,AATS7v,0.703504927489529,0.703504927489529
AATS3p,GATS1v,-0.703440027839774,0.703440027839774
AATS2i,GATS1i,0.7033879915725311,0.7033879915725311
SM1_Dze,Kier2,0.7033835985287756,0.7033835985287756
AATS7p,SpMax3_Bhm,0.7033677625986134,0.7033677625986134
ATSC0i,SHCsats,0.7033291783117743,0.7033291783117743
nO,EE_D,0.7033071473111993,0.7033071473111993
AATS6s,AATS7s,0.7032988175135213,0.7032988175135213
ASP-0,JGI1,0.7032925663483763,0.7032925663483763
ETA_EtaP_B_RC,JGI3,0.7031880181665326,0.7031880181665326
ATSC0i,SpMin6_Bhs,0.7031455674092671,0.7031455674092671
nHBint7,MLFER_BH,0.7031189356321249,0.7031189356321249
ATS4m,SpMin7_Bhv,0.7031176733053908,0.7031176733053908
SpMin6_Bhv,SpMin7_Bhs,0.7030640029019564,0.7030640029019564
nHBint6,SHBint3,0.7030162537639636,0.7030162537639636
