model,split,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,mcc
ET,8020_official_pretrained,0.8568409931325938,0.860994381642185,0.9415156507413509,0.8510796723752793,0.8709090909090909,0.8940164254986313,0.9075434915047722,0.9630405425109738,0.6834481291544255
RF,8020_official_pretrained,0.8510301109350238,0.8558254924524471,0.9395194697597349,0.8443782576321668,0.8672727272727273,0.8894117647058823,0.9068645501929196,0.9637441070224674,0.6721569800130693
XGB,8020_official_pretrained,0.8541996830427893,0.8591328775468761,0.9412737799834574,0.8473566641846612,0.8709090909090909,0.8918495297805643,0.9065098490489406,0.9621327811047949,0.6788335694618219
LGBM,8020_official_pretrained,0.849445324881141,0.8520246395451161,0.9357495881383855,0.845867460908414,0.8581818181818182,0.8885412592882284,0.9062959453056252,0.96150846186818,0.6664662763417802
KNN,8020_official_pretrained,0.8415213946117274,0.8405354362688688,0.9271089271089271,0.8428890543559195,0.8381818181818181,0.8829953198127926,0.8848074189399581,0.9396845583288619,0.6462033270831489
LogReg,8020_official_pretrained,0.8066561014263075,0.8073749407703242,0.9115417017691659,0.8056589724497394,0.8090909090909091,0.8553359683794466,0.8763704054694376,0.947106095794954,0.5771518536146355
