iter	Passed	Remaining
147	78701	282901
148	79207	282274
149	79702	281616
150	80203	280978
151	80690	280291
152	81190	279657
153	81694	279035
154	82183	278363
155	82698	277782
156	83241	277295
157	83753	276704
158	84272	276138
159	84779	275532
160	85281	274913
161	85785	274301
162	86283	273672
163	86834	273210
164	87303	272493
165	87796	271852
166	88338	271363
167	88813	270669
168	89295	270001
169	89843	269530
170	90358	268961
171	90871	268388
172	91392	267836
173	91943	267376
174	92480	266871
175	92991	266292
176	93483	265663
177	94005	265116
178	94526	264568
179	95044	264012
180	95561	263453
181	96093	262936
182	96615	262392
183	97134	261840
184	97666	261322
185	98179	260757
186	98709	260234
187	99222	259668
188	99768	259186
189	100287	258635
190	100812	258101
191	101336	257564
192	101884	257087
193	102395	256517
194	102928	256002
195	103442	255440
196	103988	254955
197	104501	254392
198	105028	253861
199	105559	253342
200	106101	252849
201	106617	252292
202	107126	251720
203	107641	251163
204	108164	250625
205	108686	250084
206	109196	249517
207	109707	248951
208	110238	248432
209	110783	247943
210	111305	247403
211	111970	247180
212	112500	246655
213	113052	246180
214	113579	245647
215	114107	245120
216	114626	244572
217	115137	244006
218	115658	243464
219	116200	242965
220	116705	242388
221	117231	241855
222	117740	241289
223	118252	240729
224	118788	240216
225	119302	239661
226	119830	239133
227	120348	238585
228	120877	238060
229	121411	237544
230	121958	237052
231	122482	236517
232	123009	235987
233	123537	235459
234	124047	234899
235	124550	234324
236	125059	233760
237	125577	233216
238	126082	232646
239	126563	232032
240	127049	231430
241	127544	230844
242	128038	230257
243	128564	229730
244	129063	229153
245	129569	228589
246	130067	228013
247	130558	227424
248	131060	226856
249	131549	226265
250	132074	225736
251	132547	225120
252	133043	224544
253	133545	223977
254	134061	223436
255	134594	222921
256	135114	222387
257	135623	221833
258	136132	221280
259	136653	220747
260	137158	220189
261	137675	219650
262	138210	219140
263	138731	218607
264	139240	218055
265	139745	217498
266	140250	216941
267	140789	216437
268	141323	215925
269	141855	215409
270	142370	214868
271	142877	214316
272	143373	213747
273	143901	213225
274	144399	212660
275	144917	212126
276	145423	211572
277	145957	211060
278	146450	210489
279	146994	209992
280	147539	209495
281	148080	208992
282	148608	208471
283	149189	208025
284	149750	207549
285	150319	207083
286	150794	206488
287	151315	205957
288	151843	205435
289	152314	204837
290	152853	204329
291	153456	203908
292	154061	203487
293	154596	202973
294	155100	202419
295	155618	201883
296	156101	201302
297	156714	200888
298	157205	200319
299	157718	199776
300	158209	199207
301	158704	198642
302	159208	198091
303	159730	197560
304	160245	197022
305	160768	196494
306	161232	195895
307	161734	195342
308	162238	194791
309	162755	194256
310	163252	193698
311	163820	193223
312	164346	192700
313	164890	192197
314	165453	191716
315	165980	191192
316	166487	190646
317	167025	190135
318	167582	189646
319	168206	189231
320	168776	188755
321	169295	188223
322	169853	187732
323	170362	187188
324	170922	186700
325	171549	186284
326	172155	185843
327	172720	185358
328	173232	184816
329	173762	184293
330	174306	183785
331	174844	183270
332	175386	182759
333	175937	182258
334	176438	181705
335	176936	181148
336	177484	180644
337	177948	180054
338	178420	179472
339	178907	178907
340	179400	178348
341	179878	177774
342	180375	177220
343	180885	176678
344	181376	176118
345	181868	175560
346	182366	175008
347	182861	174453
348	183346	173890
349	183832	173327
350	184334	172781
351	184831	172229
352	185323	171673
353	185826	171128
354	186321	170576
355	186821	170028
356	187317	169477
357	187809	168923
358	188294	168363
359	188807	167828
360	189316	167291
361	189812	166741
362	190296	166181
363	190794	165635
364	191280	165078
365	191804	164553
366	192303	164008
367	192788	163451
368	193267	162889
369	193779	162356
370	194270	161805
371	194763	161255
372	195298	160741
373	195874	160261
374	196368	159713
375	196890	159188
376	197392	158647
377	197869	158085
378	198343	157523
379	198848	156985
380	199355	156449
381	199842	155898
382	200356	155368
383	200874	154841
384	201349	154280
385	201839	153732
386	202319	153177
387	202853	152662
388	203313	152093
389	203819	151558
390	204355	151045
391	204833	150489
392	205334	149951
393	205862	149433
394	206459	148964
395	206982	148442
396	207489	147908
397	208011	147384
398	208495	146835
399	208982	146288
400	209471	145742
401	210030	145245
402	210592	144749
403	211098	144215
404	211596	143676
405	212080	143127
406	212578	142589
407	213076	142050
408	213561	141504
409	214061	140967
410	214555	140427
411	215059	139892
412	215551	139351
413	216023	138797
414	216533	138268
415	217032	137732
416	217533	137197
417	218015	136650
418	218508	136111
419	218994	135568
420	219485	135027
421	219958	134476
422	220453	133939
423	220934	133394
424	221423	132853
425	221892	132302
426	222364	131752
427	222846	131208
428	223329	130666
429	223819	130127
430	224300	129584
431	224792	129047
432	225277	128506
433	225780	127976
434	226275	127442
435	226762	126903
436	227254	126368
437	227725	125820
438	228188	125269
439	228721	124757
440	229172	124200
441	229644	123654
442	230129	123116
443	230618	122580
444	231133	122059
445	231686	121557
446	232246	121059
447	232765	120539
448	233278	120016
449	233892	119544
450	234565	119103
451	235068	118574
452	235577	118048
453	236128	117543
454	236715	117057
455	237212	116525
456	237704	115991
457	238234	115476
458	238688	114924
459	239171	114386
460	239725	113882
461	240305	113390
462	240861	112887
463	241370	112361
464	241863	111829
465	242356	111296
466	242837	110758
467	243402	110259
468	243877	109718
469	244367	109185
470	244862	108654
471	245348	108119
472	245855	107594
473	246358	107066
474	246881	106548
475	247398	106027
476	248087	105580
477	248597	105056
478	249082	104521
479	249631	104013
480	250108	103475
481	250578	102934
482	251055	102397
483	251546	101865
484	252018	101326
485	252488	100787
486	252986	100259
487	253464	99723
488	253981	99203
489	254508	98687
490	254980	98149
491	255471	97619
492	255973	97093
493	256500	96576
494	257061	96073
495	257582	95554
496	258068	95023
497	258566	94496
498	259107	93984
499	259581	93449
500	260062	92916
501	260585	92398
502	261065	91866
503	261598	91351
504	262070	90816
505	262619	90307
506	263108	89778
507	263565	89238
508	264046	88707
509	264528	88176
510	264999	87641
511	265462	87104
512	265924	86568
513	266395	86034
514	266878	85504
515	267350	84972
516	267817	84437
517	268352	83924
518	268858	83403
519	269375	82884
520	269936	82379
521	270408	81847
522	270901	81322
523	271466	80818
524	272024	80312
525	272558	79798
526	273224	79323
527	273756	78808
528	274238	78279
529	274706	77747
530	275186	77217
531	275665	76689
532	276168	76166
533	276713	75655
534	277197	75128
535	277679	74600
536	278140	74067
537	278617	73538
538	279087	73007
539	279601	72489
540	280077	71960
541	280560	71434
542	281042	70907
543	281521	70380
544	281998	69852
545	282464	69322
546	282939	68795
547	283415	68267
548	283904	67744
549	284393	67220
550	284903	66701
551	285423	66185
552	285935	65666
553	286410	65140
554	286886	64614
555	287390	64094
556	287885	63572
557	288370	63048
558	288849	62523
559	289385	62011
560	289835	61480
561	290301	60953
562	290768	60426
563	291241	59900
564	291736	59379
565	292218	58856
566	292695	58332
567	293253	57824
568	293770	57308
569	294281	56791
570	294754	56266
571	295272	55750
572	295740	55225
573	296221	54702
574	296756	54190
575	297341	53686
576	297822	53164
577	298298	52640
578	298781	52119
579	299332	51609
580	299880	51098
581	300369	50577
582	300869	50058
583	301339	49535
584	301849	49018
585	302330	48496
586	302810	47975
587	303293	47454
588	303787	46934
589	304264	46413
590	304753	45893
591	305236	45373
592	305720	44852
593	306216	44334
594	306698	43814
595	307196	43296
596	307707	42780
597	308195	42260
598	308661	41738
599	309136	41218
600	309617	40698
601	310160	40186
602	310628	39665
603	311094	39144
604	311558	38622
605	312038	38103
606	312560	37589
607	313077	37075
608	313566	36557
609	314036	36036
610	314550	35522
611	315044	35004
612	315514	34485
613	316003	33967
614	316495	33450
615	317041	32939
616	317517	32420
617	318025	31905
618	318537	31390
619	319046	30875
620	319527	30357
621	320041	29843
622	320559	29328
623	321091	28815
624	321585	28299
625	322082	27783
626	322547	27264
627	323140	26756
628	323613	26238
629	324100	25722
630	324630	25209
631	325074	24689
632	325562	24172
633	326060	23657
634	326556	23141
635	327038	22625
636	327505	22107
637	328021	21593
638	328507	21077
639	328997	20562
640	329536	20049
641	329985	19531
642	330441	19014
643	330918	18498
644	331413	17983
645	331888	17467
646	332389	16953
647	332897	16439
648	333388	15924
649	333884	15410
650	334394	14896
651	334909	14382
652	335399	13867
653	335901	13353
654	336522	12844
655	337029	12330
656	337520	11815
657	338036	11302
658	338584	10789
659	339081	10275
660	339629	9762
661	340214	9250
662	340792	8738
663	341328	8224
664	341802	7709
665	342257	7194
666	342756	6680
667	343245	6166
668	343730	5651
669	344200	5137
670	344682	4623
671	345227	4109
672	345691	3595
673	346153	3081
674	346618	2567
675	347070	2053
676	347556	1540
677	348045	1026
678	348498	513
679	348911	0
