model,split,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,mcc
RF,bbb_relevant_8020_official,0.8450704225352113,0.8167889102518455,0.8956780923994039,0.8844738778513613,0.7491039426523297,0.890040725657164,0.9103810782227075,0.9673280976554552,0.628082384561173
ET,bbb_relevant_8020_official,0.8466353677621283,0.8284554582354198,0.9080459770114943,0.8719646799116998,0.7849462365591398,0.8896396396396397,0.9096557926580002,0.9672812563404227,0.6401066512537393
KNN,bbb_relevant_8020_official,0.8205529473135107,0.7641114196871513,0.8551434569629112,0.8991905813097866,0.6290322580645161,0.8766140602582496,0.871758303201015,0.9331582871811873,0.5508304977922677
LogReg,bbb_relevant_8020_official,0.7876890975482524,0.7874089107265779,0.9,0.7880794701986755,0.7867383512544803,0.8403295409964692,0.8590334976434814,0.9353703483299267,0.5381661356344609
