trial,seed,model,accuracy,balanced_accuracy,precision,recall,specificity,f1,roc_auc,average_precision,mcc
1,42,LogReg,0.7798643714136672,0.7861152650193453,0.9042277825711821,0.7711552612214864,0.8010752688172043,0.8324066719618745,0.8578018308845057,0.9352871398233311,0.5316447528575498
1,42,KNN,0.8200312989045383,0.7621590828170619,0.8535564853556485,0.9006622516556292,0.6236559139784946,0.8764769065520945,0.8662355833010251,0.9277536614398675,0.5486224704245728
1,42,RF,0.8424621804903495,0.8165337416031713,0.8970698722764838,0.8785871964679912,0.7544802867383512,0.8877323420074349,0.909201500154288,0.9658153569704663,0.6242218969743832
1,42,ET,0.8377673448095984,0.8200883002207506,0.904320987654321,0.8623988226637234,0.7777777777777778,0.8828625235404897,0.9081056596010665,0.9654802699405942,0.6214101216718555
2,101,LogReg,0.7824726134585289,0.7816171758171331,0.8964646464646465,0.7836644591611479,0.7795698924731183,0.8362779740871613,0.8499199548476768,0.9298157027097048,0.5270404859120876
2,101,KNN,0.8179447052686489,0.7580467136651712,0.8506944444444444,0.9013980868285504,0.6146953405017921,0.8753126116470168,0.8702668523397713,0.9314509110718464,0.5422689284558033
2,101,RF,0.8487219613980177,0.8177799140734411,0.8944649446494465,0.891832229580574,0.7437275985663082,0.8931466470154753,0.9112448273952225,0.9668550086835974,0.6342280729655285
2,101,ET,0.8455920709441836,0.8224382254504023,0.9017384731670446,0.8778513612950699,0.7670250896057348,0.889634601043997,0.911934508032208,0.9677373156124718,0.633476051760038
3,202,LogReg,0.7845592070944184,0.7836169859241853,0.8974789915966387,0.7858719646799117,0.7813620071684588,0.8379756767359748,0.8538450684537704,0.9337209122694657,0.5310658494520972
3,202,KNN,0.819509650495566,0.764960003797859,0.856439127375088,0.8955114054451803,0.6344086021505376,0.8755395683453238,0.8719389652416785,0.9334767009069401,0.5496664979488568
3,202,RF,0.8429838288993219,0.8137328206223742,0.8936011904761905,0.88373804267844,0.7437275985663082,0.8886422493525712,0.9108472390356602,0.9660946424617572,0.6226440354889629
3,202,ET,0.8471570161711007,0.8282952360606708,0.9074923547400612,0.8734363502575423,0.7831541218637993,0.8901387326584177,0.9108353707264196,0.9665877629264121,0.6406323801098166
