model,trial_mean,trial_std,seed_mean,seed_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,mcc_mean,mcc_std
RF,2.0,1.0,115.0,80.9135340965898,0.8447226569292297,0.0034733062694206414,0.8160154920996622,0.0020727224274689317,0.8950453358007069,0.001805707278123411,0.8847191562423351,0.006676800386959093,0.7473118279569891,0.006208067410641139,0.8898404127918272,0.0028992018557527314,0.9104311888617236,0.0010833373730333004,0.9662550027052736,0.0005380571316594395,0.6270313351429583,0.006282291634579208
ET,2.0,1.0,115.0,80.9135340965898,0.8435054773082943,0.005030595076157054,0.823607253910608,0.004226513885665033,0.9045172718538089,0.0028819583453446097,0.8712288447387785,0.007959274338772618,0.7759856630824373,0.008212501245440554,0.8875452857476348,0.004063217147490978,0.910291846119898,0.001971442194329965,0.9666017828264927,0.001128588148721231,0.6318395178472367,0.009715064966316654
KNN,2.0,1.0,115.0,80.9135340965898,0.8191618848895844,0.0010858977566333364,0.7617219334266974,0.003477315028409386,0.8535633523917271,0.0028723476218148205,0.8991905813097866,0.00320743115786657,0.6242532855436081,0.009870198113415947,0.8757763621814784,0.000617210780145705,0.8694804669608249,0.002931883842072837,0.930893757806218,0.0029019148861515825,0.546852632276411,0.004003779952014777
LogReg,2.0,1.0,115.0,80.9135340965898,0.7822987306555381,0.0023522429592191117,0.7837831422535545,0.002253643175417647,0.8993904735441558,0.004219821439221313,0.7802305616875153,0.007936565949160453,0.7873357228195937,0.011932487667525757,0.8355534409283368,0.0028543238721569423,0.8538556180619844,0.003940948608604208,0.932941251600834,0.0028178110459628953,0.5299170294072448,0.002507919286552048
