mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,param_sampler,param_selector__k,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_train_balanced_accuracy,split1_train_balanced_accuracy,split2_train_balanced_accuracy,mean_train_balanced_accuracy,std_train_balanced_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
13.631724754969278,0.38240783150791,0.30071226755777997,0.011908882517742492,,sqrt,1,500,passthrough,all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500, 'sampler': 'passthrough', 'selector__k': 'all'}",0.8235524256651017,0.814945226917058,0.8148727984344423,0.8177901503388673,0.004074651246652536,32,0.962238309528468,0.9610643709645862,0.9647887323943662,0.9626971376291401,0.0015546938464712028,0.7735601599472278,0.7508940516381991,0.7632939087891797,0.7625827067915356,0.009267055364038958,32,0.969006748921504,0.9683762278056753,0.9704112452240039,0.9692647406503944,0.0008505855913651785,0.8624733475479744,0.8452012383900929,0.8569903948772679,0.8548883269384451,0.00720626837806338,32,0.993665418946156,0.9939393939393939,0.9931232091690544,0.9935760073515348,0.0003391511165376241,0.8934290447266704,0.9044726670347875,0.8868028713418001,0.894901527701086,0.007288418874737108,3,0.9527885146327996,0.950855880728879,0.9569298729983434,0.9535247561200073,0.0025337566534025676,0.8776783292649851,0.8738330221392371,0.8716417910447761,0.8743843808163327,0.0024950545370282045,24,0.9727977448907682,0.9719204176661493,0.9746906636670416,0.9731362754079864,0.0011560040108583533,0.89803067755217,0.8980306775521699,0.889750063827387,0.8952704729772423,0.003903518744786972,15,0.9919847517910656,0.9917806042396682,0.9924781999636821,0.992081185331472,0.0002928418450598884
8.555118958155314,0.49297772213842905,0.304370641708374,0.036334044808870244,,sqrt,1,500,"RandomUnderSampler(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500, 'sampler': RandomUnderSampler(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8290297339593115,0.8231611893583725,0.8203522504892368,0.8241810579356402,0.003615225099448949,25,0.9191938955194678,0.9215417726472315,0.9221439749608764,0.9209598810425254,0.0012727111631935112,0.824436423200501,0.8040979991772872,0.8083382317141958,0.8122908846973281,0.008760915939208195,7,0.9402187920324233,0.9422708364932012,0.9426876767257513,0.9417257684171253,0.0010790960145433816,0.9158595641646489,0.8952879581151832,0.9023809523809524,0.9045094915535948,0.008532125687490686,6,0.9956750077232005,0.9963020030816641,0.9963054187192119,0.996094143174692,0.0002963768003378898,0.8354500276090557,0.8498067366096079,0.8371065709552733,0.8407877783913124,0.0064131240162651785,28,0.8898398674765323,0.8926007730535616,0.8934290447266704,0.8919565617522548,0.001534449843597748,0.8738088362691309,0.8719546742209632,0.8685190489830994,0.8714275198243978,0.0021914806564251915,27,0.9397871409826505,0.9416047764671618,0.9420669577874818,0.9411529584124314,0.000984037882683097,0.889307698294168,0.8870374556680094,0.8804587259459813,0.8856012933027196,0.003752599069031972,32,0.9718065927235954,0.9719185864756789,0.9731765052494266,0.9723005614829002,0.0006210709898842157
18.430232922236126,0.02989594203605976,0.3266427516937256,0.0361776291740087,,sqrt,1,500,"SMOTE(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500, 'sampler': SMOTE(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8286384976525821,0.8223787167449139,0.82426614481409,0.8250944530705286,0.00262180410897601,16,0.9628252788104089,0.962238309528468,0.9647887323943662,0.963284106911081,0.0010905829078063252,0.795716705146402,0.7762873417111685,0.7881338950143388,0.7867126472906364,0.007995415340209828,28,0.9660591252842954,0.9660404905623013,0.9698186696511624,0.9673060951659197,0.0017766747444097725,0.8824512534818941,0.8657681940700809,0.8770764119601329,0.8750986198373694,0.006952930513827576,28,0.9888888888888889,0.989437624892949,0.9922768878718535,0.9902011338845638,0.0014847769220435864,0.8746548868028713,0.8868028713418001,0.8746548868028713,0.8787042149825143,0.005726614830150615,8,0.958310325786858,0.9569298729983434,0.9577581446714523,0.9576661144855513,0.0005673121666638095,0.8785357737104825,0.8761593016912166,0.8758639756704452,0.876853017024048,0.0011959813025129954,16,0.9733595064498037,0.9729122807017544,0.9747119977521775,0.9736612616345784,0.0007650871449492144,0.8967173017984799,0.89780165209625,0.8875528431390012,0.894023932344577,0.004597115075200855,22,0.9941743779803967,0.9941143018617292,0.9948762966064949,0.9943883254828737,0.0003459182447965796
18.652478615442913,0.19441967412530722,0.31341131528218585,0.016294769444325893,,sqrt,1,500,"BorderlineSMOTE(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 500, 'sampler': BorderlineSMOTE(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8274647887323944,0.8247261345852895,0.821917808219178,0.8247029105122873,0.0022646048546675207,21,0.9628252788104089,0.962238309528468,0.9645931142410016,0.9632189008599594,0.0010008263409009867,0.7988389372922372,0.7854498423133794,0.7908328286516687,0.7917072027524285,0.005500931050848156,22,0.966850127513416,0.9662382411195816,0.9694830991813637,0.9675238226047872,0.0014077582101533282,0.886568848758465,0.8738343390016456,0.8813273340832396,0.8805768406144501,0.00522585654999277,22,0.990005711022273,0.9897172236503856,0.9919931369745496,0.9905720238824026,0.001011756906388769,0.8674765323025952,0.879624516841524,0.8652678078409718,0.8707896189950303,0.0063119558989443185,14,0.9572059635560464,0.9566537824406405,0.9577581446714523,0.9572059635560463,0.0004508539927817689,0.876918783142618,0.8767198679141442,0.8732237392031207,0.8756207967532944,0.001696919854945604,18,0.9733295901179113,0.9729046749964902,0.9745750807697711,0.9736031152947242,0.0007088374889518578,0.8964738232798075,0.8959620366218376,0.8866306858326951,0.8930221819114467,0.004524297219041657,24,0.9951344833583587,0.9945963941720232,0.9951794403329393,0.9949701059544404,0.0002648907380146907
20.347358147303265,0.5275542294868489,0.5022255579630533,0.034464038513151836,,sqrt,1,800,passthrough,all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800, 'sampler': 'passthrough', 'selector__k': 'all'}",0.8223787167449139,0.8165101721439749,0.8164383561643835,0.8184424150177575,0.0027835400540968634,31,0.962238309528468,0.9614556838192134,0.9647887323943662,0.9628275752473492,0.001423078533009454,0.7731269386560133,0.7527885146327995,0.7647942234730412,0.7635698922539514,0.008348138041405358,31,0.969006748921504,0.9682568172488178,0.9702137200330567,0.9691590954011261,0.0008061324184567659,0.8626402993051844,0.846233230134159,0.8576759061833689,0.8555164785409041,0.006869998811401349,31,0.993665418946156,0.9933736675309709,0.9928407789232532,0.9932932884667934,0.0003414219162188613,0.8912203202650469,0.9055770292655991,0.8884594146880177,0.895085588072888,0.007503705912254555,2,0.9527885146327996,0.9519602429596907,0.9572059635560464,0.9539849070495121,0.002302594515589332,0.8766974470396524,0.8748999733262203,0.8727963113642527,0.8747979105767084,0.0015942662874809332,23,0.9727977448907682,0.9722261384463555,0.9746977790272702,0.9732405541214647,0.0010565073911710217,0.8978483466066802,0.898346791975956,0.8895199883626346,0.8952383756484236,0.004048627488358934,16,0.9920107106077738,0.9918162049025822,0.9925206326735572,0.9921158493946377,0.0002970356258179792
12.52237598101298,0.3340849616761437,0.43163339296976727,0.031996454766823085,,sqrt,1,800,"RandomUnderSampler(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800, 'sampler': RandomUnderSampler(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8305946791862285,0.8266823161189358,0.8180039138943248,0.8250936363998297,0.0052614807862664285,19,0.9197808648014087,0.9221287419291724,0.9221439749608764,0.9213511938971525,0.0011104077668491266,0.8259358358132072,0.8061877638147192,0.8054938310088289,0.812539143545585,0.009477127148026687,6,0.9406329278689777,0.9424872217724753,0.9424901515348041,0.9418701003920856,0.0008748138982385299,0.9165659008464329,0.8953757225433526,0.9005952380952381,0.9041789538283412,0.009014365497021998,8,0.995679012345679,0.996,0.996,0.9958930041152264,0.00015131503136501942,0.8371065709552733,0.8553285477636665,0.8354500276090557,0.8426283821093318,0.009005801452402068,25,0.890668139149641,0.8937051352843732,0.8937051352843732,0.8926928032394624,0.0014316537075376406,0.8750360750360751,0.8748940977125106,0.8668003437410484,0.8722435054965447,0.003849332999579239,25,0.9402506557854853,0.9420838183934808,0.9420838183934808,0.9414727641908156,0.0008641611407541502,0.8895689651977661,0.8873902586357052,0.8801340226691129,0.8856977488341947,0.004033441640493793,31,0.9718995809134463,0.9719804240854802,0.9730948825040117,0.9723249625009794,0.0005454151403093617
25.65136472384135,0.335032141122911,0.45770859718322754,0.02446131444665236,,sqrt,1,800,"SMOTE(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800, 'sampler': SMOTE(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8278560250391236,0.8235524256651017,0.825440313111546,0.825616254605257,0.0017613363203218605,14,0.9628252788104089,0.962238309528468,0.9647887323943662,0.963284106911081,0.0010905829078063252,0.7939793728853131,0.7775106637661717,0.7909419289526964,0.7874773218680605,0.007155753941218906,26,0.9660591252842954,0.9660404905623013,0.9698186696511624,0.9673060951659197,0.0017766747444097725,0.8810450250138966,0.8663793103448276,0.8793774319066148,0.8756005890884463,0.006555872835023523,26,0.9888888888888889,0.989437624892949,0.9922768878718535,0.9902011338845638,0.0014847769220435864,0.8752070679182772,0.8879072335726118,0.8735505245720596,0.8788882753543161,0.0064131240162651785,6,0.958310325786858,0.9569298729983434,0.9577581446714523,0.9576661144855513,0.0005673121666638095,0.8781163434903048,0.8770111808017453,0.8764542936288089,0.8771939393069529,0.0006907256758626714,14,0.9733595064498037,0.9729122807017544,0.9747119977521775,0.9736612616345784,0.0007650871449492144,0.8967035899184329,0.898016965672123,0.8875331753976594,0.8940845769960717,0.0046634669610605625,21,0.994156763069059,0.9941246853884124,0.9948935291043919,0.9943916591872878,0.00035511716814736307
26.052428642908733,0.4122211175091564,0.47375861803690594,0.019183546431003774,,sqrt,1,800,"BorderlineSMOTE(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 800, 'sampler': BorderlineSMOTE(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8251173708920188,0.8235524256651017,0.8215264187866927,0.8233987384479377,0.001470022466092728,28,0.9628252788104089,0.962238309528468,0.9645931142410016,0.9632189008599594,0.0010008263409009867,0.7944170412727589,0.7834364194945875,0.7905567380939658,0.789470066287104,0.004548197838755035,24,0.9662568758415756,0.9662382411195816,0.9696806243723108,0.9673919137778227,0.0016183806623098589,0.8831460674157303,0.8723986856516976,0.8812605514912775,0.8789351015195684,0.004685605039099825,24,0.9891676168757126,0.9897172236503856,0.992274678111588,0.9903865062125621,0.0013538615738927229,0.8680287134180011,0.879624516841524,0.864715626725566,0.8707896189950303,0.006391958532738913,14,0.9580342352291552,0.9566537824406405,0.9574820541137493,0.9573900239278483,0.0005673121666638515,0.8755221386800334,0.875996700577399,0.8729096989966555,0.8748095127513627,0.0013572696797955787,22,0.9733520336605891,0.9729046749964902,0.9745679359280596,0.9736082148617129,0.0007027711042618676,0.8964793821500969,0.8963719106578366,0.8866774431045642,0.893176245304166,0.0045955565533511615,23,0.9951454231454002,0.994630326053863,0.9951992669703045,0.9949916720565226,0.00025645401095011493
10.62805461883545,0.18842599590919948,0.259477694829305,0.008317932447416021,,sqrt,3,500,passthrough,all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 500, 'sampler': 'passthrough', 'selector__k': 'all'}",0.8341158059467919,0.8345070422535211,0.8352250489236791,0.8346159657079975,0.00045934971038390834,6,0.9399334768147134,0.9381725689688907,0.9403364632237872,0.939480836335797,0.0009395999641545001,0.8062978294464478,0.7939323077835302,0.8093268140337128,0.8031856504212302,0.006658926309122243,18,0.9508965804450751,0.9506429257218127,0.9519704342218879,0.9511699801295919,0.0005754014511992765,0.8907042253521127,0.8771739130434782,0.8935447338618346,0.8871409574191419,0.007142530006390659,19,0.9899497487437185,0.9913793103448276,0.9911163754811964,0.9908151448565808,0.0006212710142635413,0.8729983434566538,0.8912203202650469,0.8713418001104363,0.8785201546107123,0.009005801452402016,9,0.9246272777471011,0.92076200993926,0.9240750966316952,0.9231547947726854,0.0017069056682304056,0.8817624093697713,0.8841413311421529,0.8823036063740565,0.8827357822953269,0.0010181352955189445,2,0.9561741613133476,0.954766676209562,0.9564223460494357,0.9557877278574485,0.0007290673341310601,0.8979439591756566,0.8992791998191514,0.8922033362426747,0.8964754984124942,0.0030696627499817264,3,0.9822969213955905,0.9818422712629593,0.9836319990809335,0.9825903972464944,0.0007595513903638346
6.8556334177653,0.1534817325226576,0.24186062812805176,0.009808891094543352,,sqrt,3,500,"RandomUnderSampler(random_state=42, sampling_strategy=0.85)",all,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 3, 'clf__n_estimators': 500, 'sampler': RandomUnderSampler(random_state=42, sampling_strategy=0.85), 'selector__k': 'all'}",0.8262910798122066,0.8258998435054773,0.8227005870841487,0.8249638368006109,0.0016083098626042834,20,0.902367442770495,0.9027587556251223,0.9059076682316118,0.9036779555424097,0.0015847177340336065,0.8307998473163627,0.8131415399553067,0.8230612060110556,0.8223341977609083,0.007227279823060115,2,0.9241941363483139,0.9238769752341763,0.9268843643802416,0.9249851586542439,0.0013491687775137415,0.9263880224578914,0.9041420118343195,0.9191358024691358,0.9165552789204489,0.009263389354694972,2,0.989038521766364,0.9881287097781943,0.9894047990028046,0.9888573435157877,0.0005364824297545749,0.8199889563776919,0.8437327443401436,0.8221976808393153,0.8286397938523836,0.010710352678797089,29,0.871893981225842,0.8732744340143567,0.8765875207067918,0.8739186453156634,0.001969531985922391,0.8699472759226714,0.8728934590117109,0.8679685222967065,0.870269752410363,0.0020234860555544457,30,0.9267791636096845,0.9271581415799501,0.9295857121944079,0.9278410057946808,0.001243357387995118,0.8909749887896117,0.8894370346762328,0.8838204253575818,0.8880774829411421,0.003074977524690337,27,0.9625875970998811,0.9617863040541368,0.9635728156419198,0.9626489055986459,0.0007306275669296507
