accuracy,balanced_accuracy,precision,recall,f1,specificity,mcc,roc_auc,train_n,train_pos,train_neg,model,strategy,split
0.8101444170482565,0.7661877544628876,0.8628318584070797,0.8709677419354839,0.8668807112867375,0.6614077669902912,0.5360999723879446,0.8720849695246814,6624,4700,1924,LogReg,raw,7030
0.796759422331807,0.8012319617432364,0.9113272311212814,0.7905707196029776,0.8466648950305607,0.8118932038834952,0.5621459516724536,0.8615041316341034,3848,1924,1924,LogReg,undersample,7030
0.8122578372666431,0.7841748175094558,0.8803901437371663,0.8511166253101737,0.8655059298511228,0.7172330097087378,0.555882994336834,0.8668526705051917,9400,4700,4700,LogReg,smote,7030
0.8094399436421275,0.8108822785420029,0.9140449438202247,0.8074441687344913,0.8574440052700922,0.8143203883495146,0.5835379587653952,0.8716329591172999,6624,4700,1924,LogReg,weighted,7030
0.8171891511095456,0.7646947047628225,0.8578947368421053,0.8898263027295286,0.8735688185140074,0.6395631067961165,0.5452081360823414,0.8668084029969404,6624,4700,1924,KNN,raw,7030
0.813666784078901,0.8156532318292418,0.9169472502805837,0.8109181141439206,0.8606794838030024,0.8203883495145631,0.5927206028293817,0.8702784335927147,3848,1924,1924,KNN,undersample,7030
0.8143712574850299,0.8136389096340553,0.9137931034482759,0.8153846153846154,0.8617886178861789,0.8118932038834952,0.5908004992808406,0.8701941145293792,9400,4700,4700,KNN,smote,7030
0.8171891511095456,0.7646947047628225,0.8578947368421053,0.8898263027295286,0.8735688185140074,0.6395631067961165,0.5452081360823414,0.8668084029969404,6624,4700,1924,KNN,weighted,7030
0.8245861218738992,0.7623738225445085,0.8522991175104505,0.9106699751861043,0.8805182341650671,0.6140776699029126,0.5563749350559839,0.9026084704521911,6624,4700,1924,RF,raw,7030
0.831278619232124,0.8345160085764534,0.9276169265033407,0.8267990074441688,0.8743112044082918,0.8422330097087378,0.6298725941476104,0.8932502589799802,3848,1924,1924,RF,undersample,7030
0.8421979570271222,0.8246341154930257,0.907012987012987,0.8665012406947891,0.8862944162436548,0.7827669902912622,0.6307203149263354,0.8998328675708882,9400,4700,4700,RF,smote,7030
0.839732300105671,0.8103441422342142,0.892354124748491,0.8803970223325062,0.8863352485635774,0.7402912621359223,0.614896058395242,0.9012169047676406,6624,4700,1924,RF,weighted,7030
0.8224727016555125,0.7522772169890867,0.8441913439635536,0.9196029776674938,0.8802850356294537,0.5849514563106796,0.5468257561694423,0.894709581054711,6624,4700,1924,ET,raw,7030
0.8316308559351885,0.8247217470909922,0.9147328656233136,0.8411910669975186,0.8764219234746639,0.808252427184466,0.6191078840113331,0.8917192657014142,3848,1924,1924,ET,undersample,7030
0.8340965128566397,0.8156990050350527,0.9020833333333333,0.8595533498759306,0.8803049555273189,0.7718446601941747,0.6124857231228312,0.891248885783806,9400,4700,4700,ET,smote,7030
0.839732300105671,0.8182345997253608,0.9012345679012346,0.8694789081885856,0.8850719878757262,0.7669902912621359,0.6217544108014411,0.8965892938880724,6624,4700,1924,ET,weighted,7030
0.8323353293413174,0.7886349948204003,0.8737251092763477,0.892803970223325,0.8831615120274914,0.6844660194174758,0.5869547708590342,0.9040400876918259,6624,4700,1924,XGB,raw,7030
0.8372666431842198,0.8441142282396589,0.9355019629837352,0.8277915632754342,0.8783570300157978,0.8604368932038835,0.6462880503219541,0.8964339058999253,3848,1924,1924,XGB,undersample,7030
0.8429024304332512,0.815805307282758,0.8964123294593229,0.8803970223325062,0.8883324987481221,0.7512135922330098,0.6238474846035129,0.9051407526078682,9400,4700,4700,XGB,smote,7030
0.8323353293413174,0.7886349948204003,0.8737251092763477,0.892803970223325,0.8831615120274914,0.6844660194174758,0.5869547708590342,0.9040400876918259,6624,4700,1924,XGB,weighted,7030
0.8376188798872842,0.7991715652027271,0.8816306483300589,0.890818858560794,0.8862009380399901,0.7075242718446602,0.602982601087776,0.9050952805415693,6624,4700,1924,LGBM,raw,7030
0.8362099330750264,0.8437284685248982,0.9358830146231721,0.8258064516129032,0.8774057474294753,0.8616504854368932,0.644945563372307,0.8979802572935989,3848,1924,1924,LGBM,undersample,7030
0.8436069038393801,0.8191708424678985,0.8997455470737914,0.8774193548387097,0.8884422110552764,0.7609223300970874,0.6276497252229526,0.9037290105760196,9400,4700,4700,LGBM,smote,7030
0.8376188798872842,0.7991715652027271,0.8816306483300589,0.890818858560794,0.8862009380399901,0.7075242718446602,0.602982601087776,0.9050952805415693,6624,4700,1924,LGBM,weighted,7030
