accuracy,balanced_accuracy,precision,recall,f1,specificity,mcc,roc_auc,train_n,train_pos,train_neg,model,strategy,split
0.8316308559351885,0.8247217470909922,0.9147328656233136,0.8411910669975186,0.8764219234746639,0.808252427184466,0.6191078840113331,0.8917192657014142,3848,1924,1924,ET,undersample,7030
0.813666784078901,0.8156532318292418,0.9169472502805837,0.8109181141439206,0.8606794838030024,0.8203883495145631,0.5927206028293817,0.8702784335927147,3848,1924,1924,KNN,undersample,7030
0.8362099330750264,0.8437284685248982,0.9358830146231721,0.8258064516129032,0.8774057474294753,0.8616504854368932,0.644945563372307,0.8979802572935989,3848,1924,1924,LGBM,undersample,7030
0.8094399436421275,0.8108822785420029,0.9140449438202247,0.8074441687344913,0.8574440052700922,0.8143203883495146,0.5835379587653952,0.8716329591172999,6624,4700,1924,LogReg,weighted,7030
0.831278619232124,0.8345160085764534,0.9276169265033407,0.8267990074441688,0.8743112044082918,0.8422330097087378,0.6298725941476104,0.8932502589799802,3848,1924,1924,RF,undersample,7030
0.8372666431842198,0.8441142282396589,0.9355019629837352,0.8277915632754342,0.8783570300157978,0.8604368932038835,0.6462880503219541,0.8964339058999253,3848,1924,1924,XGB,undersample,7030
